DPT_CD,DPT_DSC,AGY_TYPE,OWNER_CD,OWNER_DSC,FPAP_CD,FPAP_DSC,AREA_CD,AREA_DSC,PS,MOOE,CO,NET

ARF,Agrarian Reform Fund,SPF,ARF,Agrarian Reform Fund,C.01,        For the Requirements of the Comprehensive Agrarian Reform Program,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,A.01,        General Administration and Support,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,A.01.a,            General Administration and Support Services,0,CO,,,,
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,A.01.a.01,                  General management and supervision,0,CO,648814,622654,72420,
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,A.01.b,            Productivity Incentive Benefits,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,A.03,        Operations,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,A.03.a,            Legislative Services,140,Nationwide,412478,715842,31037,
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,B.01,        Locally-Funded Projects,140,Nationwide,,,,
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,B.01.a,            Operational Requirements for the Congressional Commission on Agricultural Modernization,140,Nationwide,7957,24922,,
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,B.01.b,            Congressional Oversight Committee on Labor and Employment,140,Nationwide,9389,18075,,
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,B.01.c,            Operational Requirements of the Joint Congressional Power Commission,140,Nationwide,6748,14300,,
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,B.01.d,            Operational Requirements of the Congressional Oversight Committee on E-Commerce,140,Nationwide,,5500,,
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,B.01.e,            Operational Requirements for the Legislative Oversight Committee to Monitor and Oversee the Implementation of the RP-US Visiting Forces Agreement,0,CO,1355,6174,,
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,B.01.f,            Operational Requirements of the Joint Congressional Oversight Committee on Ecological Solid Waste Management,0,CO,120,9422,,
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,B.01.g,            Operational Requirements of the Joint Congressional Oversight Committee on the Clean Air Act,0,CO,120,9422
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,B.01.h,            Operational Requirements of the Comprehensive Oversight Committee on the Comprehensive Tax Reform Program,0,CO,1831,12671
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,B.01.i,            Congressional Committee on Absentee Voting Act,0,CO,368,8156
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,B.01.j,            Congressional Oversight Committee on Anti-Money Laundering,0,CO,680,7044
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,B.01.k,            Congressional Oversight Committee on the Dangerous Drugs Act,0,CO,210,9790
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,B.01.l,            Joint Congressional Oversight Committee on the Philppine Clean Water Act,0,CO,,9422
CONGRESS,Congress of the Philippines,AGENCY,SP,Senate,B.01.m,            Congressional Oversight Committee on the Optical Media Board,0,CO,,2500
