period,agency,record,record_label,approp,allot_ps,allot_mode,allot_co,allot_tot,oblig_ps,oblig_mode,oblig_co,oblig_tot,uoblig_ps,uoblig_mode,uoblig_co,uoblig_tot,obligrate
2013_Q1,Congress of the Philippines,budget,Congress of the Philippines,10788423,5158333,5248533,60600,10467466,438323,384052,3944,826319,4720010,4864481,56656,9641147,0.0789
2013_Q1,Congress of the Philippines,budget_curr,      Current Year Budget,10708373,5158333,5168595,60488,10387416,438323,304332,3614,746269,4720010,4864263,56874,9641147,
2013_Q1,Congress of the Philippines,budget_agency,            Agency Specific Budget,10414394,4864354,5168595,60488,10093437,411317,304332,3614,719263,4453037,4864263,56874,9374174,
2013_Q1,Congress of the Philippines,budget_spf,            Special Purpose Funds,-,-,-,-,-,-,-,-,-,-,-,-,-,
2013_Q1,Congress of the Philippines,budget_automatic,            Automatic Appro,293979,293979,-,-,293979,27006,-,-,27006,266973,-,-,266973,
2013_Q1,Congress of the Philippines,contappro,     Continuing Appro,80050,-,79938,112,80050,-,79720,330,80050,-,218,-218,-,
2013_Q1,Congress of the Philippines,contappro_end,            Unobligated Allotment as of 12/31/11,80050,-,79938,112,80050,-,79720,330,80050,-,218,-218,-,
2013_Q1,Congress of the Philippines,contappro_fy,            Allotment Releases in FY 2012,-,-,-,-,-,-,-,-,-,-,-,-,-,
2013_Q1,Office of the President,budget,Office of the President,2794943,566738,1675752,299453,2541943,-,-,-,-,566738,1675752,299453,2541943,0
2013_Q1,Office of the President,budget_curr,      Current Year Budget,2794943,566738,1675752,299453,2541943,-,-,-,-,566738,1675752,299453,2541943,
2013_Q1,Office of the President,budget_agency,            Agency Specific Budget,2700651,520045,1630153,297453,2447651,-,-,-,-,520045,1630153,297453,2447651,
2013_Q1,Office of the President,budget_spf,            Special Purpose Funds,19425,9565,9860,-,19425,-,-,-,-,9565,9860,-,19425,
2013_Q1,Office of the President,budget_automatic,            Automatic Appro,74867,37128,35739,2000,74867,-,-,-,-,37128,35739,2000,74867,
2013_Q1,Office of the President,contappro,     Continuing Appro,-,-,-,-,-,-,-,-,-,-,-,-,-,
2013_Q1,Office of the President,contappro_end,            Unobligated Allotment as of 12/31/11,-,-,-,-,-,-,-,-,-,-,-,-,-,
2013_Q1,Office of the President,contappro_fy,            Allotment Releases in FY 2012,-,-,-,-,-,-,-,-,-,-,-,-,-,
2013_Q1,Office of the Vice-President,budget,Office of the Vice-President,478778,52938,172090,50000,275028,15546,39838,47500,102884,37392,132252,2500,172144,0.3741
2013_Q1,Office of the Vice-President,budget_curr,      Current Year Budget,421515,52938,164827,-,217765,15546,32575,-,48121,37392,132252,-,169644,
2013_Q1,Office of the Vice-President,budget_agency,            Agency Specific Budget,416575,47998,164827,-,212825,13622,32575,-,46197,34376,132252,-,166628,
2013_Q1,Office of the Vice-President,budget_spf,            Special Purpose Funds,967,967,-,-,967,967,-,-,967,-,-,-,-,
2013_Q1,Office of the Vice-President,budget_automatic,            Automatic Appro,3973,3973,-,-,3973,957,-,-,957,3016,-,-,3016,
2013_Q1,Office of the Vice-President,contappro,     Continuing Appro,57263,-,7263,50000,57263,-,7263,47500,54763,-,-,2500,2500,
2013_Q1,Office of the Vice-President,contappro_end,            Unobligated Allotment as of 12/31/11,7263,-,7263,-,7263,-,7263,-,7263,-,-,-,-,
2013_Q1,Office of the Vice-President,contappro_fy,            Allotment Releases in FY 2012,50000,-,-,50000,50000,-,-,47500,47500,-,-,2500,2500,
2013_Q1,Department of Agrarian Reform,budget,Department of Agrarian Reform,22030238,5106441,8335278,989090,14430809,1432879,664465,106493,2203837,3673562,7670813,882597,12226972,0.1527
2013_Q1,Department of Agrarian Reform,budget_curr,      Current Year Budget,21700768,5106441,8112195,882703,14101339,1432879,441382,106,1874367,3673562,7670813,882597,12226972,
2013_Q1,Department of Agrarian Reform,budget_agency,            Agency Specific Budget,21038824,4444497,8112195,882703,13439395,1272129,441382,106,1713617,3172368,7670813,882597,11725778,
2013_Q1,Department of Agrarian Reform,budget_spf,            Special Purpose Funds,67629,67629,-,-,67629,67629,-,-,67629,-,-,-,-,
2013_Q1,Department of Agrarian Reform,budget_automatic,            Automatic Appro,594315,594315,-,-,594315,93121,-,-,93121,501194,-,-,501194,
2013_Q1,Department of Agrarian Reform,contappro,     Continuing Appro,329470,-,223083,106387,329470,-,223083,106387,329470,-,-,-,-,
2013_Q1,Department of Agrarian Reform,contappro_end,            Unobligated Allotment as of 12/31/11,329470,-,223083,106387,329470,-,223083,106387,329470,-,-,-,-,
2013_Q1,Department of Agrarian Reform,contappro_fy,            Allotment Releases in FY 2012,-,-,-,-,-,-,-,-,-,-,-,-,-,
2013_Q1,Department of Agriculture,budget,Department of Agriculture,68171966,3818584,19886532,38356131,62061247,926100,6101767,15813386,22841253,2892484,13784765,22542745,39219994,0.368
2013_Q1,Department of Agriculture,budget_curr,      Current Year Budget,65341294,3818584,19444138,35967853,59230575,926100,5674124,13633176,20233400,2892484,13770014,22334677,38997175,
2013_Q1,Department of Agriculture,budget_agency,            Agency Specific Budget,64474099,3478127,19190361,35957253,58625741,817433,5644993,13575703,20038129,2660694,13545368,22381550,38587612,
2013_Q1,Department of Agriculture,budget_spf,            Special Purpose Funds,271809,27605,234204,10000,271809,37026,29019,57473,123518,-9421,205185,-47473,148291,
2013_Q1,Department of Agriculture,budget_automatic,            Automatic Appro,595386,312852,19573,600,333025,71641,112,-,71753,241211,19461,600,261272,
2013_Q1,Department of Agriculture,contappro,     Continuing Appro,2830672,-,442394,2388278,2830672,-,427643,2180210,2607853,-,14751,208068,222819,
2013_Q1,Department of Agriculture,contappro_end,            Unobligated Allotment as of 12/31/11,1418315,-,424640,993675,1418315,-,424640,993675,1418315,-,-,-,-,
2013_Q1,Department of Agriculture,contappro_fy,            Allotment Releases in FY 2012,1412357,-,17754,1394603,1412357,-,3003,1186535,1189538,-,14751,208068,222819,
2013_Q1,Department of Budget and Management,budget,Department of Budget and Management,1321560,727842,486903,106815,1321560,140026,122820,12244,275090,587816,364083,94571,1046470,0.2082
2013_Q1,Department of Budget and Management,budget_curr,      Current Year Budget,1286999,727842,454722,104435,1286999,120951,109714,9864,240529,606891,345008,94571,1046470,
2013_Q1,Department of Budget and Management,budget_agency,            Agency Specific Budget,1082143,523375,454333,104435,1082143,107903,109714,9864,227481,415472,344619,94571,854662,
2013_Q1,Department of Budget and Management,budget_spf,            Special Purpose Funds,4025,4025,-,-,4025,4025,-,-,4025,-,-,-,-,
2013_Q1,Department of Budget and Management,budget_automatic,            Automatic Appro,200831,200442,389,-,200831,9023,-,-,9023,191419,389,-,191808,
2013_Q1,Department of Budget and Management,contappro,     Continuing Appro,34561,-,32181,2380,34561,19075,13106,2380,34561,-19075,19075,-,-,
2013_Q1,Department of Budget and Management,contappro_end,            Unobligated Allotment as of 12/31/11,34561,-,32181,2380,34561,19075,13106,2380,34561,-19075,19075,-,-,
2013_Q1,Department of Budget and Management,contappro_fy,            Allotment Releases in FY 2012,-,-,-,-,-,-,-,-,-,-,-,-,-,
2013_Q1,Department of Education,budget,Department of Education,254535433,206542906,30759886,9739294,247042086,43801897,3426220,601650,47829767,162741009,27333666,9137644,199212319,0.1936
2013_Q1,Department of Education,budget_curr,      Current Year Budget,252561514,206542906,30085086,8440175,245068167,43797171,2739412,5418,46542001,162745735,27345674,8434757,198526166,
2013_Q1,Department of Education,budget_agency,            Agency Specific Budget,232595221,187132878,29837244,8131752,225101874,39409864,2737835,5418,42153117,147723014,27099409,8126334,182948757,
2013_Q1,Department of Education,budget_spf,            Special Purpose Funds,1538104,1484172,17770,36162,1538104,452301,1577,-,453878,1031871,16193,36162,1084226,
2013_Q1,Department of Education,budget_automatic,            Automatic Appro,18428189,17925856,230072,272261,18428189,3935006,-,-,3935006,13990850,230072,272261,14493183,
2013_Q1,Department of Education,contappro,     Continuing Appro,1973919,-,674800,1299119,1973919,4726,686808,596232,1287766,-4726,-12008,702887,686153,
2013_Q1,Department of Education,contappro_end,            Unobligated Allotment as of 12/31/11,1190009,-,663191,526818,1190009,4726,658465,526818,1190009,-4726,4726,-,-,
2013_Q1,Department of Education,contappro_fy,            Allotment Releases in FY 2012,783910,-,11609,772301,783910,-,28343,69414,97757,-,-16734,702887,686153,
2013_Q1,State Universities and Colleges,budget,State Universities and Colleges,35476864,25291354,6774084,3395950,35461388,5642688,1147994,61404,6852086,19648666,5626090,3334546,28609302,0.1932
